Eligible Companies as per Average Market Capitalisation from Nov 2025 to April 2026,,,,
Sr. No.,Scrip Code,Name of Company,,
1,500325,Reliance Industries Ltd,,
2,500180,HDFC Bank Ltd.,,
3,532454,Bharti Airtel  Ltd.,,
4,532540,Tata Consultancy Services Ltd.,,
5,532174,ICICI Bank Ltd.,,
6,500112,State Bank Of India,,
7,500209,Infosys Ltd,,
8,500034,Bajaj Finance Limited,,
9,500510,Larsen & Toubro Limited,,
10,500696,Hindustan Unilever Ltd.,,
11,543526,LIFE INSURANCE CORPORATION OF INDIA,,
12,532500,Maruti Suzuki India  Ltd.,,
13,500875,ITC Ltd,,
14,500520,Mahindra & Mahindra Ltd.,,
15,524715,Sun Pharmaceutical Industries Ltd.,,
16,532281,HCL Technologies Ltd,,
17,500247,Kotak Mahindra Bank Ltd.,,
18,532215,AXIS Bank Ltd.,,
19,500114,Titan Company Limited,,
20,532538,UltraTech Cement Ltd,,
21,532555,NTPC Limited,,
22,532921,Adani Ports and Special Economic Zone Ltd,,
23,500312,Oil And Natural Gas Corporation Ltd,,
24,532978,Bajaj Finserv Limited,,
25,500049,Bharat Electronics Ltd.,,
26,533096,Adani Power Limited,,
27,500228,JSW Steel Limited,,
28,541154,Hindustan Aeronautics Limited,,
29,532898,POWER GRID CORPORATION OF INDIA LIMITED,,
30,512599,Adani Enterprises Ltd.,,
31,543320,Eternal Limited,,
32,532977,Bajaj Auto Limited,,
33,533278,Coal India Limited,,
34,540376,Avenue Supermarts Limited,,
35,500295,Vedanta Limited,,
36,500820,Asian Paints Ltd.,,
37,500790,Nestle India Ltd.,,
38,500188,Hindustan Zinc Ltd.,,
39,507685,Wipro  Ltd.,,
40,500470,TATA STEEL LIMITED,,
41,530965,Indian Oil Corporation Ltd.,,
42,500440,Hindalco Industries Ltd.,,
43,540719,SBI Life Insurance Company Limited,,
44,505200,Eicher Motors Ltd.,,
45,539448,InterGlobe Aviation Limited,,
46,500300,Grasim Industries Ltd,,
47,511218,Shriram Finance Limited,,
48,544274,HYUNDAI MOTOR INDIA LIMITED,,
49,532343,TVS Motor Company Ltd.,,
50,543940,Jio Financial Services Limited,,
51,532488,Divi's Laboratories Ltd.,,
52,541450,Adani Green Energy Limited,,
53,532868,DLF LIMITED,,
54,540005,LTM LIMITED,,
55,540180,Varun Beverages Limited,,
56,544569,Tata Motors Limited,,
57,540777,HDFC LIFE INSURANCE COMPANY LIMITED,,
58,500547,Bharat Petroleum Corpn. Ltd.,,
59,532134,Bank Of Baroda,,
60,532755,Tech Mahindra Limited,,
61,544658,ICICI Prudential Asset Management Company Limited,,
62,500331,Pidilite Industries Ltd.,,
63,543257,Indian Railway Finance Corporation,,
64,533398,MUTHOOT FINANCE LIMITED,,
65,500251,Trent Ltd [Lakme Ltd],,
66,500825,Britannia Industries Ltd.,,
67,544574,Tata Capital Limited,,
68,511243,Cholamandalam Investment and Finance Company Ltd,,
69,532461,Punjab National Bank,,
