BSE_Code,Company_Name,BSE_Verified,NSE_Code,Sector,Industry
500325,Reliance Industries Ltd,500325,RELIANCE,Energy,"Oil, Gas & Consumable Fuels"
500180,HDFC Bank Ltd.,500180,HDFCBANK,Financial Services,Financial Services
532454,Bharti Airtel  Ltd.,532454,BHARTIARTL,Telecommunication,Telecommunication
532540,Tata Consultancy Services Ltd.,532540,TCS,Information Technology,Information Technology
532174,ICICI Bank Ltd.,532174,ICICIBANK,Financial Services,Financial Services
500112,State Bank Of India,500112,SBIN,Financial Services,Financial Services
500209,Infosys Ltd,500209,INFY,Information Technology,Information Technology
500034,Bajaj Finance Limited,500034,BAJFINANCE,Financial Services,Financial Services
500510,Larsen & Toubro Limited,500510,LT,Industrials,Construction
500696,Hindustan Unilever Ltd.,500696,HINDUNILVR,Fast Moving Consumer Goods,Fast Moving Consumer Goods
543526,LIFE INSURANCE CORPORATION OF INDIA,543526,LICI,Financial Services,Financial Services
532500,Maruti Suzuki India  Ltd.,532500,MARUTI,Consumer Discretionary,Automobile and Auto Components
500875,ITC Ltd,500875,ITC,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500520,Mahindra & Mahindra Ltd.,500520,M&,Consumer Discretionary,Automobile and Auto Components
524715,Sun Pharmaceutical Industries Ltd.,524715,SUNPHARMA,Healthcare,Healthcare
532281,HCL Technologies Ltd,532281,HCLTECH,Information Technology,Information Technology
500247,Kotak Mahindra Bank Ltd.,500247,KOTAKBANK,Financial Services,Financial Services
532215,AXIS Bank Ltd.,532215,AXISBANK,Financial Services,Financial Services
500114,Titan Company Limited,500114,TITAN,Consumer Discretionary,Consumer Durables
532538,UltraTech Cement Ltd,532538,ULTRACEMCO,Commodities,Construction Materials
532555,NTPC Limited,532555,NTPC,Utilities,Power
532921,Adani Ports and Special Economic Zone Ltd,532921,ADANIPORTS,Services,Services
500312,Oil And Natural Gas Corporation Ltd,500312,ONGC,Energy,"Oil, Gas & Consumable Fuels"
532978,Bajaj Finserv Limited,532978,BAJAJFINSV,Financial Services,Financial Services
500049,Bharat Electronics Ltd.,500049,BEL,Industrials,Capital Goods
533096,Adani Power Limited,533096,ADANIPOWER,Utilities,Power
500228,JSW Steel Limited,500228,JSWSTEEL,Commodities,Metals & Mining
541154,Hindustan Aeronautics Limited,541154,HAL,Industrials,Capital Goods
532898,POWER GRID CORPORATION OF INDIA LIMITED,532898,POWERGRID,Utilities,Power
512599,Adani Enterprises Ltd.,512599,ADANIENT,Commodities,Metals & Mining
543320,Eternal Limited,543320,ETERNAL,Consumer Discretionary,Consumer Services
532977,Bajaj Auto Limited,532977,BAJAJ-AUTO,Consumer Discretionary,Automobile and Auto Components
533278,Coal India Limited,533278,COALINDIA,Energy,"Oil, Gas & Consumable Fuels"
540376,Avenue Supermarts Limited,540376,DMART,Consumer Discretionary,Consumer Services
500295,Vedanta Limited,500295,VEDL,Commodities,Metals & Mining
500820,Asian Paints Ltd.,500820,ASIANPAINT,Consumer Discretionary,Consumer Durables
500790,Nestle India Ltd.,500790,NESTLEIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500188,Hindustan Zinc Ltd.,500188,HINDZINC,Commodities,Metals & Mining
507685,Wipro  Ltd.,507685,WIPRO,Information Technology,Information Technology
500470,TATA STEEL LIMITED,500470,TATASTEEL,Commodities,Metals & Mining
530965,Indian Oil Corporation Ltd.,530965,IOC,Energy,"Oil, Gas & Consumable Fuels"
500440,Hindalco Industries Ltd.,500440,HINDALCO,Commodities,Metals & Mining
540719,SBI Life Insurance Company Limited,540719,SBILIFE,Financial Services,Financial Services
